legacy_id,language,trid,source_language
60095,de,21343,en
60098,en,21349,
60161,de,21356,
60174,en,21359,
60170,de,21357,
60187,en,21362,
60219,de,21362,en
60199,en,21364,
60226,de,21364,en
60297,en,21372,
60373,de,21372,en
60334,en,21376,
60370,de,21376,en
60346,en,21378,
60424,de,21378,en
60379,en,21383,
60468,de,21383,en
60394,en,21387,
60407,en,21389,
60427,de,21391,
60440,en,21393,
60471,de,21393,en
60453,en,21395,
60474,de,21395,en
60479,en,21398,
60497,en,21401,
60587,de,21401,en
60562,en,21407,
60593,de,21407,en
60575,en,21409,
60590,de,21409,en
60597,en,21412,
60611,de,21412,en
60617,de,21414,
60619,en,21415,
60633,en,21417,
60690,de,21417,en
60656,en,21420,
60698,de,21420,en
60668,en,21422,
60695,de,21422,en
60732,en,21429,
60744,en,21431,
60770,de,21431,en
60757,en,21433,
60773,de,21433,en
60796,en,21437,
60823,de,21437,en
60818,en,21440,
60829,de,21440,en
60833,en,21445,
60974,de,21445,en
60847,en,21448,
60977,de,21448,en
60859,de,21450,
60960,en,21469,
61017,de,21469,en
61034,en,21479,
61033,en,21478,
61094,de,21478,en
61097,en,21486,
61119,en,21489,
61207,en,21498,
61219,en,21500,
61231,en,21502,
61243,en,21504,
61262,en,21510,
61336,de,21510,en
61274,en,21512,
61339,de,21512,en
61296,en,21515,
61451,de,21515,en
61343,en,21520,
61372,de,21520,en
61376,de,21527,
61380,de,21530,
61398,de,21532,
61400,en,21533,
61422,en,21536,
61425,en,21538,
61532,de,21538,en
61447,de,21541,
61454,en,21542,
61476,de,21545,
61547,en,21556,
61700,de,21556,en
61582,en,21562,
61731,de,21562,en
61678,en,21574,
61706,de,21574,en
61757,de,21584,
61824,en,21596,
61828,en,21598,
61895,de,21598,en
61853,en,21602,
61869,en,21606,
61901,de,21606,en
61881,en,21609,
61898,de,21609,en
61908,de,21611,
61921,de,21613,
61939,en,21617,
61974,de,21617,en
61977,en,21622,
62034,de,21622,en
61999,en,21625,
62031,de,21625,en
62022,de,21628,
62041,de,21631,
62064,en,21637,
62096,en,21641,
62139,en,21645,
62300,en,21657,
62437,de,21657,en
62334,de,21661,
62343,en,21663,
62358,de,21663,en
62425,en,21681,
62456,de,21681,en
62539,en,21705,
62551,en,21707,
62604,de,21707,en
62592,de,21712,
62648,en,21727,
62692,de,21727,en
62701,en,21733,
62755,de,21733,en
62713,en,21736,
62758,de,21736,en
62726,de,21739,
62738,de,21740,
62762,de,21742,
62768,en,21744,
62801,de,21744,en
62840,en,21752,
62856,de,21754,
62886,en,21759,
62955,de,21767,
62969,en,21771,
63002,de,21771,en
63060,de,21779,
63072,de,21782,
63089,de,21784,
63092,de,21786,
63110,en,21788,
63115,de,21791,
63141,en,21796,
63143,de,21796,en
63146,en,21798,
63158,de,21798,en
63165,en,21803,
63230,de,21803,en
63239,de,21811,
63251,de,21814,
63264,de,21817,
63291,en,21825,
63349,en,21828,
63347,en,21832,
63398,en,21835,
63410,de,21835,en
63414,en,21838,
63427,en,21842,
63449,en,21845,
63473,de,21845,en
63524,en,21853,
63562,en,21858,
63574,en,21861,
63596,de,21861,en
63819,de,21866,en
63608,en,21864,
63823,de,21864,en
63615,en,21866,
63669,en,21877,
63681,en,21881,
63694,en,21883,
63773,de,21883,en
63739,de,21890,
63756,en,21893,
63666,en,21875,
63800,de,21901,
63792,en,21899,
63842,en,21907,
63844,de,21909,
63856,en,21913,
63898,de,21913,en
63879,en,21917,
63895,de,21917,en
63933,en,21929,
64011,de,21929,en
63995,en,21937,
63999,en,21940,
64019,de,21940,en
64014,en,21942,
64023,en,21944,
64048,en,21948,
64106,en,21955,
64119,en,21958,
64183,en,21966,
64219,en,21971,
64222,en,21974,
64302,en,21983,
64256,en,21979,
64269,de,21979,en
64392,en,21996,
64395,en,21998,
64401,en,22003,
64423,de,22003,en
64452,en,22011,
64426,en,22006,
64517,de,22006,en
64438,en,22009,
64520,de,22009,en
64456,en,22013,
64458,en,22016,
64523,de,22016,en
64470,en,22019,
64482,en,22022,
64514,de,22022,en
64529,en,22026,
64616,de,22026,en
64613,en,22039,
64577,en,22032,
64600,en,22036,
64632,en,22042,
64634,de,22045,
64646,de,22048,
64660,en,22050,
64682,en,22054,
64695,de,22057,
64708,en,22059,
64714,en,22062,
64738,de,22062,en
64758,en,22068,
64746,en,22065,
64773,de,22071,
64777,de,22073,
64790,en,22076,
64830,de,22076,en
64816,en,22080,
64833,en,22083,
64855,de,22083,en
64913,en,22093,
64987,de,22093,en
64936,en,22096,
64948,de,22099,
64950,en,22101,
64962,en,22105,
64974,en,22107,
64990,de,22107,en
64993,de,22111,
65005,de,22114,
65017,de,22116,
65027,de,22118,
65040,en,22122,
65101,en,22128,
65113,en,22131,
65126,en,22133,
65170,de,22133,en
65206,en,22147,
65240,en,22152,
65294,de,22152,en
65298,en,22159,
65448,de,22159,en
65311,en,22161,
65452,de,22161,en
65334,en,22165,
65455,de,22165,en
65360,en,22170,
65461,en,22181,
65485,de,22181,en
65473,en,22184,
65488,de,22184,en
65491,en,22186,
65515,de,22186,en
65503,en,22189,
65520,en,22193,
65651,de,22193,en
65532,en,22195,
65647,de,22195,en
65544,en,22199,
65566,de,22199,en
65582,en,22203,
65597,de,22207,
65609,en,22209,
65633,de,22213,
65754,en,22227,
65766,de,22227,en
65804,en,22233,
65897,de,22233,en
65817,en,22235,
65877,de,22243,
65920,en,22248,
65924,de,22248,en
65927,en,22251,
65939,de,22251,en
66020,en,84743,
66239,de,84743,en
66032,en,84746,
66244,de,84746,en
66218,en,84761,
66231,de,84761,en
66341,en,84770,
66557,de,84770,en
66353,en,84774,
66561,de,84774,en
66366,en,84776,
66564,de,84776,en
66583,en,84799,
66615,en,84805,
66678,de,84805,en
66682,en,84810,
66734,en,84820,
66758,de,84820,en
66746,en,84823,
66776,de,84823,en
66780,de,84826,
66811,en,84832,
66824,de,84832,en
66837,en,84834,
66850,en,84837,
66882,en,84842,
67006,en,84860,
67070,en,84867,
67116,en,84872,
67139,de,84872,en
67142,en,84876,
67193,en,84883,
67205,en,84887,
67217,en,84889,
67261,en,84896,
67406,en,84912,
67429,en,84916,
67463,en,84920,
67483,en,84923,
67488,en,84926,
67513,en,84932,
67525,de,84932,en
67533,en,84934,
67546,en,84937,
67551,en,84939,
67603,en,84944,
67627,de,84944,en
67615,en,84947,
67630,de,84947,en
67633,en,84950,
67647,en,84952,
67667,en,84955,
67670,en,84958,
67682,en,84961,
67714,en,84966,
67726,en,84968,
67793,de,84968,en
67738,en,84971,
67740,en,84973,
67753,en,84976,
67775,de,84976,en
67788,en,84981,
67803,en,84984,
67815,en,84987,
67828,de,84987,en
67831,de,84989,
67838,en,84991,
67843,en,84994,
67869,de,84998,
67882,en,85000,
67884,en,85003,
67896,en,85006,
67908,en,85009,
67920,en,85012,
68071,de,85012,en
67933,en,85014,
67935,en,85016,
67947,en,85019,
67949,en,85022,
67963,en,85024,
67976,en,85028,
67988,de,85030,
68001,en,85034,
68024,de,85034,en
68028,en,85038,
68052,de,85041,
68074,de,85045,
68106,en,85049,
68108,de,85051,
68116,en,85053,
68118,de,85053,en
68120,en,85056,
68132,de,85056,en
68136,en,85058,
68142,en,85061,
68164,en,85064,
68183,en,85070,
68195,en,85072,
68267,en,85080,
68271,en,85083,
68320,en,85089,
68332,de,85089,en
68346,en,85092,
68355,en,85094,
68359,en,85097,
68392,de,85097,en
68372,en,85100,
68395,de,85100,en
68398,en,85103,
68451,en,85109,
68456,en,85112,
68552,de,85112,en
68480,en,85116,
68584,de,85116,en
68492,en,85119,
68587,de,85119,en
68504,en,85122,
68664,de,85122,en
68564,en,85125,
68570,en,85127,
68655,de,85127,en
68590,en,85131,
68658,de,85131,en
68602,en,85134,
68661,de,85134,en
68618,en,85139,
68614,en,85136,
68641,en,85142,
68688,en,85148,
68783,de,85148,en
68692,en,85150,
68694,en,85153,
68716,en,85158,
68786,de,85158,en
68729,en,85160,
68789,de,85160,en
68742,en,85164,
68747,en,85167,
68908,de,85167,en
68748,en,85170,
68911,de,85170,en
68771,en,85173,
68793,en,85175,
68808,en,85179,
68853,de,85179,en
68830,en,85182,
68855,de,85187,
68883,en,85189,
68885,en,85193,
68959,en,153380,
68992,en,153385,
69013,en,153390,
68996,en,153388,
69027,en,153393,
69030,en,153395,
69084,de,153395,en
69032,en,153397,
69069,en,153402,
69087,en,153405,
69205,en,153409,
69202,en,153407,
69238,en,153414,
69245,en,153418,
69243,en,153416,
69260,en,153423,
69273,en,153425,
69276,en,153428,
69296,en,153436,
69309,en,153439,
69353,de,153439,en
69322,en,153441,
69350,de,153441,en
69361,de,153445,en
69356,en,153447,
69366,en,153450,
69378,en,153452,
69516,de,153452,en
69391,en,153457,
69413,en,153459,
69425,en,153463,
69519,de,153463,en
69438,en,153467,
69451,de,153469,
69464,en,153472,
69476,en,153475,
69478,en,153477,
69480,en,153479,
69492,en,153483,
69541,en,153489,
69554,en,153491,
69558,en,153494,
69632,en,153502,
69646,en,153507,
69669,en,153511,
69673,en,153516,
69676,en,153519,
69698,en,153522,
69704,en,153525,
69718,en,153527,
69730,de,153527,en
69717,en,153531,
69744,en,153534,
69757,en,153536,
69845,en,153545,
69848,en,153548,
69862,en,153551,
69874,en,153553,
69876,en,153556,
69889,en,153558,
69892,en,153561,
69926,en,153566,
69940,en,153571,
69335,en,153445,
69949,en,153575,
69964,de,153575,en
69961,en,153577,
70053,de,153571,en
70060,de,153566,en
70064,en,153596,
70091,de,153602,
70115,en,153605,
70117,en,153608,
70169,de,153608,en
70129,en,153611,
70173,de,153611,en
70147,en,153615,
70155,en,153618,
70192,en,153624,
70204,en,153628,
70190,en,153621,
70228,en,153632,
70243,en,153634,
70247,en,153637,
70262,en,153640,
70275,de,153640,en
70301,en,153656,
70314,en,153659,
70329,en,153663,
70333,en,153666,
70345,en,153669,
70358,en,153672,
70371,de,153672,en
70374,de,153669,en
70427,de,153684,
70443,en,153687,
70455,en,153690,
70467,en,153692,
70470,de,153694,
70500,en,153699,
70508,en,153701,
70497,en,153697,
70510,de,153703,
70534,en,153707,
70536,de,153707,en
70539,en,153709,
70556,en,153713,
70568,de,153716,
